Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,Bayern Munich,25,26.3,11,€14.24m,€356.00m,Bundesliga,2011
,Borussia Dortmund,30,25.1,13,€7.20m,€215.95m,Bundesliga,2011
,FC Schalke 04,39,25.2,21,€3.98m,€155.23m,Bundesliga,2011
,Bayer 04 Leverkusen,30,24.6,9,€4.50m,€134.85m,Bundesliga,2011
,VfL Wolfsburg,45,26.4,29,€2.80m,€125.80m,Bundesliga,2011
,VfB Stuttgart,32,25.8,18,€3.69m,€118.00m,Bundesliga,2011
,SV Werder Bremen,38,24.7,17,€2.95m,€111.95m,Bundesliga,2011
,TSG 1899 Hoffenheim,35,24.5,20,€2.53m,€88.65m,Bundesliga,2011
,Borussia Mönchengladbach,28,24.7,15,€3.15m,€88.30m,Bundesliga,2011
,Hamburger SV,37,24.5,23,€2.32m,€85.90m,Bundesliga,2011
,Hannover 96,31,26.2,17,€2.48m,€76.80m,Bundesliga,2011
,SC Freiburg,37,25.4,17,€1.88m,€69.43m,Bundesliga,2011
,1.FC Köln,34,25.1,17,€1.77m,€60.18m,Bundesliga,2011
,1.FC Nuremberg,30,24.7,12,€1.74m,€52.10m,Bundesliga,2011
,1.FSV Mainz 05,30,26.2,18,€1.73m,€52.00m,Bundesliga,2011
,Hertha BSC,31,25.2,18,€1.47m,€45.60m,Bundesliga,2011
,1.FC Kaiserslautern,37,24.8,22,€1.15m,€42.60m,Bundesliga,2011
,FC Augsburg,32,26.6,15,€1.20m,€38.35m,Bundesliga,2011
,Bayern Munich,29,25.8,13,€15.94m,€462.40m,Bundesliga,2012
,Borussia Dortmund,31,24.7,10,€9.75m,€302.30m,Bundesliga,2012
,FC Schalke 04,34,25.3,22,€5.40m,€183.55m,Bundesliga,2012
,Bayer 04 Leverkusen,33,24.1,11,€4.71m,€155.30m,Bundesliga,2012
,VfL Wolfsburg,36,26.4,26,€3.03m,€109.00m,Bundesliga,2012
,Hamburger SV,30,25.6,18,€3.50m,€104.95m,Bundesliga,2012
,VfB Stuttgart,34,25.8,19,€2.74m,€93.13m,Bundesliga,2012
,Borussia Mönchengladbach,29,24.7,14,€3.01m,€87.33m,Bundesliga,2012
,Hannover 96,35,26.0,20,€2.38m,€83.15m,Bundesliga,2012
,TSG 1899 Hoffenheim,43,24.1,24,€1.82m,€78.25m,Bundesliga,2012
,SV Werder Bremen,32,23.9,15,€2.44m,€78.00m,Bundesliga,2012
,Eintracht Frankfurt,31,26.0,13,€2.21m,€68.40m,Bundesliga,2012
,SC Freiburg,32,24.5,15,€2.06m,€65.80m,Bundesliga,2012
,1.FSV Mainz 05,32,26.9,18,€1.64m,€52.43m,Bundesliga,2012
,1.FC Nuremberg,32,24.6,14,€1.46m,€46.83m,Bundesliga,2012
,FC Augsburg,33,26.7,18,€1.17m,€38.45m,Bundesliga,2012
,SpVgg Greuther Fürth,37,25.3,18,€901k,€33.33m,Bundesliga,2012
,Fortuna Düsseldorf,35,26.2,20,€890k,€31.15m,Bundesliga,2012
,Bayern Munich,33,25.2,16,€16.88m,€556.88m,Bundesliga,2013
,Borussia Dortmund,31,25.2,12,€10.52m,€326.05m,Bundesliga,2013
,FC Schalke 04,38,25.0,18,€5.35m,€203.25m,Bundesliga,2013
,Bayer 04 Leverkusen,35,24.8,14,€5.03m,€175.88m,Bundesliga,2013
,VfL Wolfsburg,36,25.6,24,€4.31m,€155.23m,Bundesliga,2013
,Borussia Mönchengladbach,28,25.4,15,€3.98m,€111.38m,Bundesliga,2013
,VfB Stuttgart,35,25.5,19,€3.09m,€108.30m,Bundesliga,2013
,Hamburger SV,34,25.4,18,€3.02m,€102.78m,Bundesliga,2013
,TSG 1899 Hoffenheim,43,24.2,25,€2.27m,€97.40m,Bundesliga,2013
,Eintracht Frankfurt,33,25.3,11,€2.61m,€86.20m,Bundesliga,2013
,Hannover 96,36,25.6,20,€2.23m,€80.23m,Bundesliga,2013
,SC Freiburg,35,24.2,16,€2.05m,€71.68m,Bundesliga,2013
,Hertha BSC,32,26.4,14,€2.13m,€68.08m,Bundesliga,2013
,SV Werder Bremen,39,24.2,18,€1.70m,€66.40m,Bundesliga,2013
,1.FSV Mainz 05,32,27.1,16,€1.86m,€59.45m,Bundesliga,2013
,1.FC Nuremberg,33,24.7,17,€1.71m,€56.45m,Bundesliga,2013
,FC Augsburg,35,25.8,20,€1.31m,€45.95m,Bundesliga,2013
,Eintracht Braunschweig,33,26.4,11,€866k,€28.58m,Bundesliga,2013
,Bayern Munich,33,26.1,17,€17.43m,€575.13m,Bundesliga,2014
,Borussia Dortmund,37,25.2,20,€8.64m,€319.50m,Bundesliga,2014
,VfL Wolfsburg,30,26.4,18,€7.37m,€221.05m,Bundesliga,2014
,FC Schalke 04,36,24.5,15,€5.89m,€212.00m,Bundesliga,2014
,Bayer 04 Leverkusen,26,25.4,14,€6.81m,€177.10m,Bundesliga,2014
,Borussia Mönchengladbach,27,26.3,15,€4.84m,€130.63m,Bundesliga,2014
,TSG 1899 Hoffenheim,30,24.9,14,€4.06m,€121.78m,Bundesliga,2014
,1.FSV Mainz 05,36,25.4,19,€2.44m,€88.00m,Bundesliga,2014
,Hamburger SV,38,25.8,21,€2.29m,€87.15m,Bundesliga,2014
,VfB Stuttgart,30,25.2,17,€2.90m,€86.95m,Bundesliga,2014
,Hannover 96,35,26.1,16,€2.19m,€76.65m,Bundesliga,2014
,Eintracht Frankfurt,30,25.6,14,€2.50m,€74.90m,Bundesliga,2014
,SV Werder Bremen,36,24.4,16,€1.88m,€67.53m,Bundesliga,2014
,Hertha BSC,30,26.7,16,€2.20m,€66.00m,Bundesliga,2014
,SC Freiburg,30,25.6,13,€1.91m,€57.40m,Bundesliga,2014
,1.FC Köln,27,25.8,14,€1.88m,€50.75m,Bundesliga,2014
