Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,Deportivo de La Coruña,31,28.8,15,€1.47m,€45.60m,La_Liga,2012
,Levante UD,32,28.4,14,€1.28m,€41.10m,La_Liga,2012
,Real Valladolid CF,25,27.0,8,€1.55m,€38.80m,La_Liga,2012
,Real Madrid,32,25.5,15,€19.90m,€636.80m,La_Liga,2013
,FC Barcelona,29,26.6,10,€20.42m,€592.20m,La_Liga,2013
,Atlético de Madrid,35,25.5,19,€8.82m,€308.80m,La_Liga,2013
,Valencia CF,42,25.1,21,€4.26m,€178.80m,La_Liga,2013
,Sevilla FC,37,25.0,19,€3.81m,€141.15m,La_Liga,2013
,Real Sociedad,31,25.9,8,€4.41m,€136.70m,La_Liga,2013
,Athletic Bilbao,27,26.2,0,€4.84m,€130.70m,La_Liga,2013
,Villarreal CF,29,24.8,9,€2.67m,€77.30m,La_Liga,2013
,Málaga CF,31,26.5,21,€2.02m,€62.50m,La_Liga,2013
,Real Betis Balompié,41,24.9,12,€1.43m,€58.60m,La_Liga,2013
,Granada CF,34,25.5,23,€1.69m,€57.48m,La_Liga,2013
,Getafe CF,32,27.4,6,€1.75m,€55.90m,La_Liga,2013
,RCD Espanyol Barcelona,26,26.2,10,€1.97m,€51.30m,La_Liga,2013
,Celta de Vigo,29,26.1,8,€1.72m,€49.90m,La_Liga,2013
,Rayo Vallecano,33,25.7,10,€1.40m,€46.10m,La_Liga,2013
,Elche CF,32,27.3,7,€1.39m,€44.60m,La_Liga,2013
,Levante UD,33,28.2,14,€1.28m,€42.40m,La_Liga,2013
,CA Osasuna,29,27.5,6,€1.46m,€42.30m,La_Liga,2013
,Real Valladolid CF,31,27.1,13,€1.33m,€41.20m,La_Liga,2013
,UD Almería,34,26.7,12,€1.07m,€36.45m,La_Liga,2013
,Real Madrid,41,24.7,19,€19.21m,€787.80m,La_Liga,2014
,FC Barcelona,31,25.9,17,€19.48m,€603.80m,La_Liga,2014
,Atlético de Madrid,32,26.2,16,€11.13m,€356.00m,La_Liga,2014
,Valencia CF,26,24.5,13,€8.85m,€230.00m,La_Liga,2014
,Sevilla FC,34,25.5,14,€4.90m,€166.75m,La_Liga,2014
,Villarreal CF,37,24.5,12,€3.59m,€132.70m,La_Liga,2014
,Athletic Bilbao,27,26.6,1,€4.15m,€112.10m,La_Liga,2014
,Real Sociedad,30,26.0,5,€3.23m,€96.80m,La_Liga,2014
,Málaga CF,30,27.1,18,€2.76m,€82.80m,La_Liga,2014
,RCD Espanyol Barcelona,32,26.0,6,€2.37m,€75.70m,La_Liga,2014
,Granada CF,39,25.8,22,€1.73m,€67.55m,La_Liga,2014
,Celta de Vigo,28,24.8,11,€2.16m,€60.40m,La_Liga,2014
,Deportivo de La Coruña,33,26.9,12,€1.62m,€53.40m,La_Liga,2014
,Rayo Vallecano,29,27.1,12,€1.78m,€51.70m,La_Liga,2014
,Córdoba CF,36,26.3,15,€1.41m,€50.90m,La_Liga,2014
,Getafe CF,33,26.7,9,€1.52m,€50.20m,La_Liga,2014
,Levante UD,31,28.3,10,€1.40m,€43.45m,La_Liga,2014
,Elche CF,29,26.2,9,€1.33m,€38.60m,La_Liga,2014
,UD Almería,31,25.5,11,€1.24m,€38.30m,La_Liga,2014
,SD Eibar,25,28.7,3,€1.18m,€29.40m,La_Liga,2014
,FC Barcelona,32,26.4,16,€22.69m,€726.00m,La_Liga,2015
,Real Madrid,30,25.3,17,€23.81m,€714.30m,La_Liga,2015
,Atlético de Madrid,30,25.9,17,€13.95m,€418.50m,La_Liga,2015
,Valencia CF,38,24.1,20,€6.68m,€254.00m,La_Liga,2015
,Sevilla FC,38,26.2,19,€6.06m,€230.30m,La_Liga,2015
,Athletic Bilbao,28,27.4,1,€5.29m,€148.00m,La_Liga,2015
,Villarreal CF,28,25.8,10,€5.02m,€140.60m,La_Liga,2015
,Real Sociedad,32,26.0,6,€3.73m,€119.40m,La_Liga,2015
,Celta de Vigo,28,25.2,13,€3.25m,€91.10m,La_Liga,2015
,Málaga CF,33,27.5,23,€2.36m,€77.95m,La_Liga,2015
,Granada CF,33,26.3,19,€2.17m,€71.50m,La_Liga,2015
,RCD Espanyol Barcelona,33,25.6,9,€1.88m,€62.20m,La_Liga,2015
,Deportivo de La Coruña,30,28.7,11,€2.06m,€61.75m,La_Liga,2015
,SD Eibar,35,26.2,9,€1.62m,€56.60m,La_Liga,2015
,Real Betis Balompié,33,27.4,14,€1.71m,€56.40m,La_Liga,2015
,Sporting Gijón,29,25.2,8,€1.83m,€53.20m,La_Liga,2015
,Levante UD,31,27.8,10,€1.71m,€53.10m,La_Liga,2015
,Rayo Vallecano,35,28.4,13,€1.42m,€49.60m,La_Liga,2015
,Getafe CF,30,26.2,12,€1.64m,€49.10m,La_Liga,2015
,UD Las Palmas,33,27.7,7,€976k,€32.20m,La_Liga,2015
,Real Madrid,29,26.2,18,€27.69m,€802.90m,La_Liga,2016
,FC Barcelona,33,26.3,18,€23.19m,€765.30m,La_Liga,2016
,Atlético de Madrid,38,25.1,22,€13.57m,€515.80m,La_Liga,2016
,Sevilla FC,38,26.1,23,€7.11m,€270.10m,La_Liga,2016
,Valencia CF,38,25.3,18,€6.78m,€257.50m,La_Liga,2016
,Villarreal CF,34,26.3,13,€5.61m,€190.70m,La_Liga,2016
,Athletic Bilbao,30,27.3,1,€5.75m,€172.60m,La_Liga,2016
,Real Sociedad,30,26.2,4,€5.22m,€156.45m,La_Liga,2016
,Celta de Vigo,29,26.0,15,€4.22m,€122.40m,La_Liga,2016
,Deportivo de La Coruña,37,27.2,16,€2.54m,€94.00m,La_Liga,2016
,Deportivo Alavés,30,25.8,11,€2.85m,€85.40m,La_Liga,2016
,Málaga CF,32,26.5,16,€2.63m,€84.30m,La_Liga,2016
,UD Las Palmas,33,27.2,9,€2.55m,€84.30m,La_Liga,2016
,Real Betis Balompié,28,26.8,13,€3.01m,€84.20m,La_Liga,2016
,RCD Espanyol Barcelona,29,27.8,9,€2.79m,€80.80m,La_Liga,2016
,SD Eibar,28,26.4,5,€2.43m,€67.95m,La_Liga,2016
,Granada CF,40,25.6,26,€1.66m,€66.45m,La_Liga,2016
,CD Leganés,37,26.6,11,€1.44m,€53.15m,La_Liga,2016
,Sporting Gijón,31,26.3,9,€1.51m,€46.75m,La_Liga,2016
,CA Osasuna,37,26.0,9,€1.16m,€42.90m,La_Liga,2016
,FC Barcelona,32,26.8,17,€34.19m,€1.09bn,La_Liga,2017
,Real Madrid,32,25.0,15,€29.85m,€955.35m,La_Liga,2017
,Atlético de Madrid,36,25.8,20,€19.75m,€711.15m,La_Liga,2017
,Valencia CF,30,24.7,14,€13.27m,€398.05m,La_Liga,2017
,Sevilla FC,33,27.0,20,€7.67m,€253.20m,La_Liga,2017
,Athletic Bilbao,33,26.4,1,€7.56m,€249.40m,La_Liga,2017
,Real Sociedad,29,26.8,6,€8.03m,€232.95m,La_Liga,2017
,Villarreal CF,40,25.8,15,€5.50m,€220.00m,La_Liga,2017
,Celta de Vigo,32,25.0,16,€5.41m,€173.05m,La_Liga,2017
,Real Betis Balompié,31,26.4,11,€4.27m,€132.25m,La_Liga,2017
,RCD Espanyol Barcelona,29,27.8,7,€3.37m,€97.80m,La_Liga,2017
,UD Las Palmas,38,27.4,15,€2.40m,€91.25m,La_Liga,2017
,Girona FC,30,25.8,14,€2.73m,€81.75m,La_Liga,2017
,Deportivo Alavés,33,25.6,12,€2.27m,€74.80m,La_Liga,2017
,Deportivo de La Coruña,36,27.3,18,€1.85m,€66.45m,La_Liga,2017
,Getafe CF,36,27.1,18,€1.82m,€65.60m,La_Liga,2017
,Levante UD,37,25.8,15,€1.67m,€61.85m,La_Liga,2017
,SD Eibar,33,27.4,9,€1.82m,€60.05m,La_Liga,2017
,CD Leganés,34,27.3,15,€1.72m,€58.55m,La_Liga,2017
,Málaga CF,40,26.2,17,€1.38m,€55.20m,La_Liga,2017
,FC Barcelona,39,25.2,20,€29.72m,€1.16bn,La_Liga,2018
,Atlético de Madrid,37,24.7,17,€26.21m,€969.70m,La_Liga,2018
,Real Madrid,36,25.2,16,€24.89m,€896.10m,La_Liga,2018
,Valencia CF,33,25.2,17,€15.14m,€499.65m,La_Liga,2018
,Sevilla FC,38,26.6,21,€8.06m,€306.30m,La_Liga,2018
,Real Sociedad,33,24.6,8,€9.12m,€300.95m,La_Liga,2018
,Real Betis Balompié,34,25.9,15,€8.55m,€290.75m,La_Liga,2018
,Athletic Bilbao,32,27.3,3,€7.32m,€234.25m,La_Liga,2018
,Celta de Vigo,30,25.9,19,€7.80m,€234.10m,La_Liga,2018
,Villarreal CF,32,27.9,12,€7.21m,€230.65m,La_Liga,2018
,RCD Espanyol Barcelona,30,27.3,9,€5.82m,€174.70m,La_Liga,2018
,Getafe CF,28,27.7,13,€4.72m,€132.20m,La_Liga,2018
,CD Leganés,38,26.4,19,€2.96m,€112.45m,La_Liga,2018
,Deportivo Alavés,29,26.4,10,€3.82m,€110.80m,La_Liga,2018
,Levante UD,31,26.4,10,€3.48m,€107.85m,La_Liga,2018
,Girona FC,33,26.3,11,€2.95m,€97.25m,La_Liga,2018
,SD Eibar,29,28.1,8,€3.24m,€93.90m,La_Liga,2018
,Rayo Vallecano,36,26.7,13,€2.41m,€86.70m,La_Liga,2018
,Real Valladolid CF,41,25.6,8,€2.02m,€83.00m,La_Liga,2018
,SD Huesca,39,27.2,15,€1.57m,€61.40m,La_Liga,2018
,FC Barcelona,42,24.7,23,€22.15m,€930.28m,La_Liga,2019
,Real Madrid,33,26.2,21,€27.69m,€913.75m,La_Liga,2019
,Atlético de Madrid,33,25.3,16,€21.82m,€720.15m,La_Liga,2019
,Valencia CF,33,25.9,17,€12.96m,€427.80m,La_Liga,2019
,Real Sociedad,36,25.0,7,€9.65m,€347.55m,La_Liga,2019
,Sevilla FC,35,26.2,16,€8.42m,€294.75m,La_Liga,2019
,Real Betis Balompié,38,25.5,10,€6.43m,€244.35m,La_Liga,2019
,Athletic Bilbao,32,26.8,2,€6.62m,€211.75m,La_Liga,2019
,Villarreal CF,33,26.9,11,€6.32m,€208.68m,La_Liga,2019
,Getafe CF,33,28.5,17,€5.32m,€175.45m,La_Liga,2019
,Celta de Vigo,35,25.5,13,€4.77m,€167.00m,La_Liga,2019
,RCD Espanyol Barcelona,40,26.3,12,€3.90m,€156.05m,La_Liga,2019
,CD Leganés,39,25.8,16,€2.81m,€109.70m,La_Liga,2019
,Deportivo Alavés,37,26.6,11,€2.89m,€106.75m,La_Liga,2019
,Levante UD,33,27.0,8,€2.74m,€90.50m,La_Liga,2019
,Real Valladolid CF,37,26.0,9,€2.37m,€87.78m,La_Liga,2019
,RCD Mallorca,35,26.9,15,€1.85m,€64.68m,La_Liga,2019
,CA Osasuna,37,26.9,4,€1.70m,€62.78m,La_Liga,2019
,Granada CF,34,26.4,13,€1.66m,€56.58m,La_Liga,2019
,SD Eibar,29,28.8,11,€1.85m,€53.75m,La_Liga,2019
,FC Barcelona,32,25.5,20,€25.42m,€813.50m,La_Liga,2020
,Real Madrid,37,25.3,17,€21.28m,€787.30m,La_Liga,2020
,Atlético de Madrid,39,25.4,21,€19.82m,€773.10m,La_Liga,2020
,Sevilla FC,38,26.2,17,€11.01m,€418.25m,La_Liga,2020
,Real Sociedad,38,25.1,5,€10.70m,€406.60m,La_Liga,2020
,Villarreal CF,36,26.4,13,€8.13m,€292.60m,La_Liga,2020
,Valencia CF,35,25.2,20,€7.97m,€278.85m,La_Liga,2020
,Real Betis Balompié,33,27.2,12,€6.29m,€207.70m,La_Liga,2020
,Athletic Bilbao,32,26.4,2,€6.38m,€204.15m,La_Liga,2020
,Getafe CF,33,25.9,18,€5.15m,€170.10m,La_Liga,2020
,Celta de Vigo,41,24.8,12,€3.80m,€155.85m,La_Liga,2020
,Granada CF,44,25.3,17,€2.79m,€122.65m,La_Liga,2020
,Levante UD,34,27.0,10,€3.32m,€113.00m,La_Liga,2020
,CA Osasuna,36,27.5,6,€2.69m,€96.75m,La_Liga,2020
,SD Eibar,34,27.5,9,€2.45m,€83.40m,La_Liga,2020
,Deportivo Alavés,35,26.1,10,€2.28m,€79.80m,La_Liga,2020
,SD Huesca,34,26.9,9,€1.89m,€64.10m,La_Liga,2020
,Real Valladolid CF,41,27.1,9,€1.55m,€63.35m,La_Liga,2020
,Cádiz CF,41,27.6,16,€1.16m,€47.65m,La_Liga,2020
,Elche CF,41,27.2,15,€1.11m,€45.65m,La_Liga,2020
,Real Madrid,36,26.3,19,€21.41m,€770.75m,La_Liga,2021
,FC Barcelona,47,25.5,24,€15.65m,€735.60m,La_Liga,2021
,Atlético de Madrid,43,25.7,24,€15.39m,€661.80m,La_Liga,2021
,Villarreal CF,39,26.5,15,€10.48m,€408.90m,La_Liga,2021
,Sevilla FC,43,26.2,21,€8.95m,€385.00m,La_Liga,2021
,Real Sociedad,40,25.2,7,€9.42m,€376.95m,La_Liga,2021
,Valencia CF,44,24.1,20,€7.06m,€310.60m,La_Liga,2021
,Real Betis Balompié,38,27.9,13,€6.82m,€259.00m,La_Liga,2021
,Athletic Bilbao,31,26.2,1,€7.29m,€226.05m,La_Liga,2021
,Getafe CF,43,25.7,17,€4.85m,€208.68m,La_Liga,2021
,RCD Espanyol Barcelona,38,25.9,7,€3.46m,€131.60m,La_Liga,2021
,Celta de Vigo,34,26.0,11,€3.53m,€120.00m,La_Liga,2021
,CA Osasuna,32,27.4,3,€3.39m,€108.45m,La_Liga,2021
,Granada CF,39,26.9,16,€2.66m,€103.75m,La_Liga,2021
,Levante UD,42,26.8,12,€1.85m,€77.90m,La_Liga,2021
,RCD Mallorca,41,26.2,16,€1.81m,€74.15m,La_Liga,2021
,Elche CF,37,27.9,14,€1.97m,€72.98m,La_Liga,2021
,Cádiz CF,37,27.7,14,€1.83m,€67.80m,La_Liga,2021
,Rayo Vallecano,36,26.7,14,€1.87m,€67.20m,La_Liga,2021
,Deportivo Alavés,43,25.6,16,€1.52m,€65.35m,La_Liga,2021
,Real Madrid,36,25.9,20,€25.65m,€923.45m,La_Liga,2022
,FC Barcelona,41,24.4,14,€20.41m,€836.80m,La_Liga,2022
,Atlético de Madrid,40,25.8,22,€13.36m,€534.30m,La_Liga,2022
,Real Sociedad,37,25.0,6,€11.94m,€441.70m,La_Liga,2022
,Villarreal CF,43,26.4,15,€8.45m,€363.50m,La_Liga,2022
,Valencia CF,40,24.5,18,€6.24m,€249.78m,La_Liga,2022
,Real Betis Balompié,38,27.6,13,€6.48m,€246.40m,La_Liga,2022
,Sevilla FC,42,26.8,23,€5.54m,€232.58m,La_Liga,2022
,Athletic Bilbao,31,27.1,1,€7.18m,€222.45m,La_Liga,2022
,CA Osasuna,31,27.2,4,€4.84m,€150.05m,La_Liga,2022
,Girona FC,37,25.6,13,€3.78m,€139.90m,La_Liga,2022
,Celta de Vigo,36,25.7,12,€3.86m,€138.80m,La_Liga,2022
,Getafe CF,34,26.5,14,€3.50m,€118.90m,La_Liga,2022
,RCD Espanyol Barcelona,37,25.9,11,€3.15m,€116.50m,La_Liga,2022
,UD Almería,36,25.9,18,€3.17m,€114.20m,La_Liga,2022
,RCD Mallorca,38,26.9,19,€2.82m,€107.00m,La_Liga,2022
,Rayo Vallecano,29,28.7,10,€3.57m,€103.40m,La_Liga,2022
,Real Valladolid CF,41,26.8,18,€2.21m,€90.75m,La_Liga,2022
,Elche CF,40,27.0,17,€1.69m,€67.50m,La_Liga,2022
,Cádiz CF,47,27.3,17,€1.40m,€65.60m,La_Liga,2022
